name,rating,review
,10,한번보고나서는여운이오랫동안남아서한동안집에돌아와침대에누워계속이영화생각만했다이상하게계속끌려서한번만더봐볼까했던게결국에는지금까지도합다섯번을보게되었다말하자면한번에이해하기힘든영화이고취향을좀타는영화이다하지만거꾸로생각하면이영화의메세지를깨닫게될때까지계속보고싶어지는영화이기도하다이영화가비디오테이프로있었다면나는테이프가엉키고끊어질때까지계속봤을지도모른다여름에어울리는영화이긴하지만겨울바다처럼하염없이볼수있는영화기도했다솔직히영화배급사가홍보를잘못했다고생각한다허위광고아닐까하는생각이들정도이다블루아워는굳이말하자면39힐링39이라는타이틀을붙일수도있겠지만39리틀포레스트39같이양지에서해바라기하듯이마음을다독여주는영화가아니다본다면몇번쯤은불쾌한감정이들거라고알아둬야영화를보며혼란스럽지않을것같다비유하자면내가본39블루아워39는오히려비가퍼붓는여름날에버스정류장에서있을때곁에구멍이살짝난우산을발견한느낌에가깝다고생각한다번아웃상태인39스나다39는39기요39와함께싫어하던고향에서자기가삶에지친이유들을발견하고불쾌한상황에맞닥뜨리지만동시에39그럼에도39살아가야할이유들을찾기도한다마음이깨진상태에서그조각들을모아이어붙이고굳히고결국에는성장하는이야기가담겨있는것이39블루아워39라는영화이다그리고이를보며공감하고함께일어설용기를넌지시던져주는것이블루아워의힐링방식이고마지막으로나오는노래를함께듣고나오면나도모르게하늘이온통파란좋은아침이라하기에도애매하고잘자라고하기에도애매한새벽의39블루아워39에달리고싶은기분이든다
,6,포스터예고편같은내용아닌데왜이런식으로마케팅한건지그냥원래느낌대로했었어도봤을것같은데일단영화를보고나서청량힐링로드무비에낚인분노가더컸습니다ㅠㅠ그와별개로영화는호불호가많이갈릴것같습니다블루아워라는제목보다블루아워에서날려버려란원제목이더영화내용과알맞는것같아요서사없이그냥물흐르듯이내용이흘러가는데점점잠겨가는끝없는느낌은압도적이었습니다
,10,힐링영화기대하지마셈음울하고지루한감성조금표현이덜된듯모호한부분이있지만그것도조앗슴
,1,정말힐링영화였다면주말에반도를꺾었을거야지금은그런영화가필요하거든이영화마케터는관객들에게미안해해야해그러면안돼영화를속여서팔다니
,2,너무난해했다일본식특유의오바스러운연기도오글거리는거에한몫했고보는내내나갈까가족애를그리려고했던건지대체뭘보여주려고했던건지힐링무비는절대아니라는것만알아두길일본특유의음산함과어울리지않는음악들알수없는장면들과특유의연기들일본영화가원래이렇지라고하기엔너무도난해하고눈쌀을찌푸리게만들었다VIP멤버십으로봤는데돈아까워죽는줄
,2,90분동안불편하고찝찝하기만한그런영화뭘말하고싶은건지도모르겠고장르가공포영화였나하고간간히생각이드네난해한건지이상한건지모르겠는데코로나때문인가영화관에상영할게이런거밖에없는건가
,1,하ㅠ정말ㅠㅠ백번양보해도별하나도아깝다
,1,40넘게살면서처음으로관람도중에포기하고나왔습니다
,1,첫장면부터아싶더라고요일단힐링영화는절대아님그리고끝까지찝찝함영화내용도잘이해가안돼요이거보느니강동원보러반도가세요최악과차악중에차악이ㅠㅠ
,10,밤인지아침인지모를푸른시간모두가잠든외로움속에서만위로를얻는당신에게
카오산 탱고,,
,10,아는맛이라더그리운영화를보는내내아이영화는진짜여행자가만들었구나태국과인도고인물인것같다생각했고적어도3개월이상여행해본여행자라면누구나일상으로느껴질법한부분을참잘담아낸것이신기했다암파와나쏭크란을볼수있는것도좋았지만전통모자쓰고다니며또로록또로록긁어서소리내는악기들고다니는아주머니매일타고다니던짜오프라야수상버스여행자들이입고다니는옷등실제로카오산에서만날수있는사람들과풍경을보는게너무좋았다땡모반들고다니던여주인공을보며피식웃음까지나오더라니진짜다넣었네싶어서영화를보는내내얼마전까지만해도일상이었지만지금은너무아득해꿈처럼느껴지는그분위기가너무그리웠다진짜그렇게사는게행복하니돌아갈수있을때돌아가여행자라면누구나한번쯤해보았을법한고민을날카롭게건드린다여행이길어지며한곳에자리잡기점점어려워지고돌아간곳에서의삶을감당할수없을만큼자유를맛본사람들이할수있는말이겠지돌아갈수있을때돌아가라는말꼰대스러운그말을듣는게참싫었는데지금생각해보면그들자신에게하는말이었을수도있겠다영화를보는내내이영화를만든사람의목소리가곳곳에서느껴졌다여행을통해인생이바뀐사람소중한사람을잃어본사람의목소리가영화를보는내내마음이좋았다익숙한거리의간판과사람들을보며그곳의공기가온도가고스란히전해졌다여행이그리운사람이라면인도와태국여행자라면대개이두곳을오가는퐁당퐁당고인물이많으니ㅎㅎ추천하고싶은영화
,5,영화가무얼말하려고하는지모르겠음남주여주가왜그런감정을느꼈는지왜서로에게마음이끌렸는지에대한설명도없음현실적인방콕장면에서비현실적인이야기를다루니까이질감이매우느껴짐벗남주진짜잘생겼다라는생각들었음
,6,영상미는뛰어나나다른면은다부족함방콕을가고싶게만들지만줄거리가뜬금없음
,2,이걸무슨의도로만든거냐
,1,시간아까운영화조연으로나온사람배정남인줄
,3,영화가뭘이야기하고싶은지모르겠음일단스토리가납득이안됨남녀주인공이싸우는데왜싸우는지선뜻납득이안감싸우는이유는알겠는데그런사이에서굳이이런느낌또배정남이남주에게여주에관해한마디하는데그런얘기를왜하는지황당함남주별거한것도없는데말야감독이스토리를납득못시키고혼자나간느낌다음으로여주의연기가이영화와맞지않음여주가연기를못하는건아님근데톤같은게혼자붕뜨는느낌임여주가남주얼굴보고갑자기웃는장면이있는데너무부조화라싸이코드라마인줄알았음이건감독의디렉팅에문제가있는거임마지막으로주제가뭔지애매함두주인공의사랑이야기라고확드러나지도않고슬픔을안고사는사람들의이야기라기엔비중이얼마없음두마리토끼다놓친느낌결국뭣도아닌영화가되어버렸음
,8,여행지에서이런감정을느낄수도있다고생각하고보면딱좋을영화잔잔하게흘러가는내용에몰입하게되더라구요태국방콕의다양하고생생한풍경도볼만합니다
,1,떨리는카메라워킹과함께제마음도떨렸습니다진부한대사개연성없는스토리맥락없는연기삼박자가아주아름답더군요영화찍기전에뭘말하고싶으셨는지한문장으로정리할수있으신지궁금하네요
,2,기대는일도안하고그저방콕풍경이나봐야지하고봤는데다큐3일방콕편이더재미있겠네요30분안되서오랜만에중간에나가고싶었어요여주재미교포인가요발음이휴비추
,2,내용없어도방콕이그리워서보았어요노노노유튜브에서짧은동영상하나볼걸정말후회합니다재미도없고음악도스토리도영상미도연기력은ㅋ그냥웃지요
세인트 주디,,
,8,영화관에서볼만한영화다우리가놓치고있는인간의모습을담았다무분별한인권호소가아니라정말필요한이들의간절함을호소하며대변하는변호사주디의모습이멋지다
,10,스토리연기다좋았어요
,10,끈기로세상을바꾼변호사마음을움직이는스토리
,10,바라봐주고이해하고들어주는것으로시작하는세상의변화를실천하는작은움직임이다
,10,이시대에꼭필요한영화인권정의에대해다시한번생각하게만든다
,10,온세상의주디그리고주디가될사람들을위한영화
,10,큰기대없이감상평만보고선택했는데정말선택하길잘했어요영화비가아깝지가않아요잔잔하게그려냈는데영화인데몰입하게되고지루할새도없이끝났어요
,10,주디우드의끈기가세상을바꾸다
,10,약자를위해끝까지싸워당당히세상을바꾼주디감동적입니다우리나라에도이런변호사가많아지길바랍니다
,10,주디우드그녀의끈기에보는사람까지용기를얻게되는영화
위대한 쇼맨,,
,10,말이필요없음이런걸영화라고함
,10,레미제라블이후로휴잭맨의인생영화였다
,9,휴잭맨의매력이한껏돋보인영화입니다다른출연자들도너무멋지구요사람은누구나소중하며현재를멋지게사는게중요하다는메세지도있구요좋았습니다
,9,지금미국에선평론가들평안좋고관객평은좋다던데우째딱영화처럼된듯ㅋㅋㅋ공연을즐기지못하는공연평론가이게진짜사기아닌가요
,10,정말인생최고의영화너무좋아서울컥하고남들없었음ㅠ기립박수칠뻔강추
,10,노래진짜쩐다ㅠㅠㅠ보는내내귀호강그리고배우분들연기다너무좋아서올해마무리영화로딱인듯합니다
